V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88
-0.122797257,0.1047777331,-0.1271574766,0.109558949,-0.1109604669,0.0940307111,-0.0968952241,0.0777330946,-0.0852469005,0.0619099629,-0.0715542297,0.0472582874,-0.0599362844,0.0306837905,-0.044285492,0.0159480835,-0.0257091449,0.0015431176,-0.0074827611,-0.0164110351,0.0155647684,-0.0343197731,0.0482327125,-0.0438869474,0.0832251798,-0.0359915486,0.1099828483,-0.0155778128,0.1227070389,0.0109470581,0.1261366821,0.0367996323,0.1244975131,0.0622687286,0.1219215152,0.0879344252,0.1200213432,0.1123348361,0.1177670835,0.1312069188,0.1069656939,0.1540921681,0.1087962002,0.177165419,-0.2341078341,0.0936111077,-0.2197806071,0.0527213211,-0.2062226424,0.0306156988,-0.1951415061,0.0070139257,-0.1826799048,-0.0162077656,-0.1661556274,-0.0380643638,-0.146587402,-0.0587921304,-0.1229970409,-0.07540106,-0.0993720869,-0.0900362995,-0.0758364978,-0.1064044437,-0.0493932834,-0.1209789023,-0.0191477369,-0.1321399168,0.0139903762,-0.1341136947,0.0439824554,-0.1288462712,0.0731802461,-0.1239462094,0.1034976085,-0.1141924552,0.1304990573,-0.0973707664,0.1533838498,-0.077135406,0.1722390986,-0.0540659379,0.1849456545,-0.0291434311,0.1932914328,-0.0056271229,0.1946190485,0.0484983246
-0.1633709468,0.1140321641,-0.1416592474,0.088845245,-0.129144849,0.0730682158,-0.1184903279,0.0561392391,-0.1034976504,0.040090812,-0.0866650696,0.0271526658,-0.0715685451,0.0161779543,-0.0580242999,-0.0025023107,-0.0330808308,-0.0184579718,-0.0053381799,-0.0258208914,0.0212136286,-0.0284222667,0.0475901864,-0.0298123906,0.0740454697,-0.0247932574,0.098838215,-0.013102342,0.1180106477,0.0069982056,0.1296008664,0.0321237483,0.1388528034,0.0583233028,0.1409593702,0.0845852225,0.1474912519,0.1076668139,0.1515971612,0.1315424752,0.1511750167,0.1532564065,0.1537163085,0.176656749,-0.2389107702,0.0711274114,-0.2294368029,0.0436365962,-0.2108411082,0.0238809542,-0.1944071426,0.0035282385,-0.1762103504,-0.015401656,-0.1570905071,-0.0334111654,-0.1363413373,-0.0497098226,-0.1137186518,-0.0642634052,-0.0911171861,-0.0789490259,-0.0667599185,-0.0908404838,-0.0411338888,-0.099882448,-0.0149339284,-0.1054845333,0.0116548965,-0.1065858564,0.0384558444,-0.1043492195,0.0652352045,-0.0997813781,0.0913870545,-0.0932036555,0.1158171379,-0.0817714493,0.1388938915,-0.0667457403,0.1609202115,-0.0499922645,0.181049372,-0.0311801693,0.1963548953,-0.0083037496,0.2088821052,0.0139350329
-0.1437986282,0.1066033271,-0.1355155646,0.1017683859,-0.1199274016,0.0873197502,-0.1038344925,0.0746716045,-0.0895444283,0.0593398402,-0.0763021104,0.045103755,-0.0606100337,0.0326006008,-0.0424249761,0.0202277115,-0.0235873073,0.0061709991,-0.0014989377,-0.0074685456,0.0187869957,-0.0237482099,0.046166386,-0.0363274324,0.0765873725,-0.0262498379,0.1014153431,-0.0111239108,0.1147650016,0.0126672624,0.1182529273,0.0373723564,0.1187021964,0.0634083109,0.1185430198,0.0881937126,0.1157036072,0.107502692,0.1052211212,0.1340949712,0.1089208481,0.1647634375,0.1139335335,0.1736098615,-0.2240922745,0.0807562634,-0.2134060634,0.0546498385,-0.2016522801,0.0331095673,-0.1867635807,0.0123408451,-0.1717810741,-0.009084672,-0.1552281483,-0.0294191485,-0.1384329427,-0.0499202512,-0.1191609417,-0.0690342307,-0.099152358,-0.0877355263,-0.0778341814,-0.1063373282,-0.0531784732,-0.1241051633,-0.0231510907,-0.1366538049,0.0086776973,-0.1427725166,0.0431719604,-0.1448867417,0.0787041263,-0.1360254881,0.1090783368,-0.119365019,0.1326473965,-0.098983496,0.153424479,-0.0784352549,0.1730995876,-0.0563304229,0.1885859881,-0.031971385,0.2035489666,-0.0072939675,0.2129403984,0.0369972602
-0.1557640863,0.128063378,-0.1297841588,0.0985384104,-0.1192922668,0.0795031223,-0.1104100123,0.0632363024,-0.0959419195,0.0499587347,-0.0833453269,0.0347656603,-0.0682794523,0.0202540926,-0.0503289759,0.0068365496,-0.0295268465,-0.0053941346,-0.0054205702,-0.0141752463,0.0198275749,-0.0209058194,0.0451290255,-0.0238619572,0.0698066871,-0.0175808822,0.0940937146,-0.0095298436,0.1187205424,0.0043592447,0.1329682425,0.0317814442,0.1354529321,0.0601342555,0.1381844521,0.0860953959,0.1388003934,0.1107937736,0.136298288,0.1335880155,0.1416573099,0.1486607337,0.1519536931,0.1638253647,-0.2372234031,0.0462878937,-0.2311585415,0.0403062579,-0.212866419,0.0216153049,-0.1965911724,0.0012242228,-0.177847367,-0.0170997664,-0.158957797,-0.0352793735,-0.1373409021,-0.050652983,-0.1163307371,-0.0678525657,-0.094734993,-0.0842506865,-0.0716923656,-0.1000501572,-0.0451455935,-0.1106068301,-0.0171891147,-0.1147331998,0.0106257683,-0.1143891908,0.0381472871,-0.1104410452,0.0656076812,-0.1069027999,0.0916290187,-0.0973094438,0.1154832443,-0.082735373,0.1399046776,-0.0690065759,0.1621332149,-0.0520611069,0.1833517556,-0.0333979978,0.201537437,-0.0108017077,0.2138590812,0.0191905293
-0.1594508023,0.1047835121,-0.1408469797,0.089875223,-0.1260415571,0.0752602073,-0.1096615639,0.0641551656,-0.0958204506,0.0498701194,-0.0815030613,0.0358096971,-0.064124301,0.0244978732,-0.0470345446,0.0110455721,-0.0281131134,-0.0030255414,-0.0053677772,-0.0149928901,0.0177145672,-0.0290484867,0.0457891762,-0.034760226,0.0737866498,-0.0295180663,0.1013538755,-0.019525009,0.1238537706,0.0023296638,0.135606633,0.0301461378,0.142317314,0.0581378252,0.1440599038,0.0851557702,0.143520554,0.1104116476,0.1381803227,0.13378922,0.1291701534,0.1547209641,0.1446802186,0.170450271,-0.2365938113,0.0710265416,-0.2293535104,0.0443951198,-0.2142579576,0.0217396263,-0.1954525921,0.0033280163,-0.1771887866,-0.0154207783,-0.1582375337,-0.0334507193,-0.135909812,-0.0479909326,-0.1155633418,-0.0661869886,-0.0937283291,-0.0816688064,-0.0688332431,-0.0936103799,-0.043280315,-0.1052816861,-0.0173225771,-0.1154932284,0.0107791071,-0.1181194069,0.0389150937,-0.1162915082,0.0659155393,-0.1086940336,0.0924551089,-0.0993973856,0.1172205987,-0.0863154203,0.1386500516,-0.0684389488,0.1595580741,-0.0500280804,0.177775301,-0.0292686488,0.1937774229,-0.007639996,0.208606525,0.0332389943
-0.1559211643,0.1149885241,-0.1401918108,0.0916167645,-0.1242979949,0.0786913963,-0.1077287955,0.0679669218,-0.0916231828,0.054399173,-0.0798938566,0.0381913231,-0.0650276237,0.0241772622,-0.048274827,0.0101321902,-0.0295552023,-0.0040464331,-0.0075890072,-0.0196044975,0.0197206301,-0.0266903764,0.0462075356,-0.0255617905,0.0706158721,-0.0176240598,0.0945179236,-0.0081721991,0.1168459491,0.0068225384,0.134497256,0.0302344658,0.1420375063,0.0587396001,0.1466906794,0.0862631088,0.1436821977,0.1119068799,0.1401769257,0.1363196239,0.1278023523,0.1551485434,0.1333159313,0.1724581251,-0.2257659655,0.0687358999,-0.2150832318,0.0515699567,-0.2037757193,0.0285430456,-0.1878826084,0.008870154,-0.172446269,-0.0126662588,-0.1574492897,-0.0337740697,-0.1393099489,-0.0530195942,-0.1224093155,-0.0732021153,-0.1067164162,-0.0975317239,-0.0779354581,-0.1141022425,-0.0477273678,-0.1246706874,-0.0167850775,-0.1265655042,0.01189783,-0.1234689772,0.0400923922,-0.1198501443,0.0681257716,-0.1130503478,0.0934112859,-0.0998504323,0.1179212729,-0.0859727491,0.138491434,-0.0671296109,0.1589094921,-0.0477530061,0.1785623444,-0.0284653799,0.1921154961,-0.0053923223,0.2077520546,0.0323890254
-0.1757572886,0.0993793661,-0.145615898,0.080676032,-0.128143544,0.071631093,-0.1137838111,0.0593203942,-0.0992165519,0.045380756,-0.0821008903,0.0346285926,-0.0645431851,0.0241267174,-0.0450898144,0.0144036971,-0.0259526991,0.0005711709,-0.0066722945,-0.0165501187,0.0192385556,-0.0238497364,0.0448849218,-0.025124531,0.0697664561,-0.0196094356,0.0927688825,-0.0085876897,0.1141098344,0.0066999092,0.1319668278,0.0278667028,0.1450359036,0.0537229384,0.1523270783,0.0814364844,0.1545453183,0.1090055795,0.1512354554,0.1356788064,0.1442266553,0.154096054,0.149269817,0.1631639174,-0.2398036334,0.0575300802,-0.2338501535,0.0403794441,-0.21538174,0.0197162447,-0.196195986,0.0021455603,-0.177395807,-0.0157273058,-0.1559484046,-0.0303868052,-0.1359974871,-0.0470938925,-0.1124304842,-0.0588184037,-0.089022162,-0.0736959781,-0.0658040735,-0.0876834908,-0.041492821,-0.0991459828,-0.0155074816,-0.1079584893,0.0101607844,-0.1164706932,0.0379356894,-0.1194156011,0.0662663369,-0.1132251093,0.0910138597,-0.0996298104,0.1150211475,-0.0854613686,0.1368638092,-0.0686101116,0.1562761706,-0.0486307634,0.1767444987,-0.0296648882,0.1948997289,-0.0094033252,0.2111484793,0.0231839901
-0.181153631,0.1060891288,-0.1481953981,0.0820965978,-0.1358085598,0.0662381029,-0.1188494102,0.0525822937,-0.1011464089,0.041056566,-0.0828536214,0.0338702284,-0.065429172,0.0234850349,-0.0461630272,0.0137992256,-0.0253682312,0.0034937875,-0.0024493919,-0.0079188684,0.0201864193,-0.020075621,0.0448078045,-0.0244922647,0.0708531232,-0.0233621483,0.0958824377,-0.0122190049,0.1150551805,0.0075717932,0.1287427711,0.0319868644,0.1352992757,0.05922597,0.1376517001,0.0854336606,0.1392944743,0.1095151852,0.1450968186,0.1314023417,0.1459021612,0.1515414503,0.1516890327,0.1674402888,-0.2287062423,0.063167661,-0.2220999455,0.0463966556,-0.2109867182,0.0233297336,-0.1956773672,0.00251546,-0.1791831721,-0.0179505248,-0.1579876831,-0.0330902694,-0.1369560122,-0.0482597891,-0.1130607957,-0.0596157694,-0.0892422484,-0.0736135086,-0.0651425716,-0.0869496291,-0.039710287,-0.099770239,-0.0170700945,-0.114315442,0.0103084126,-0.1206537324,0.0378388112,-0.1142060295,0.0639859599,-0.1049318291,0.0904596049,-0.0956635331,0.1160274708,-0.0846337339,0.140685414,-0.0714663557,0.1627168139,-0.0539033525,0.1841714939,-0.0358306119,0.2059618377,-0.0154425473,0.2206229722,0.0161267742
-0.1521261346,0.1049654365,-0.1367289845,0.0942187116,-0.1229012425,0.0784019743,-0.1097344667,0.0636635953,-0.0963133132,0.0491794502,-0.083410883,0.0334915259,-0.0662841924,0.0205317619,-0.0486121282,0.0078474387,-0.0295761238,-0.0074098001,-0.0046434336,-0.0181139009,0.0216392731,-0.0235567131,0.047460104,-0.0238263149,0.0723785498,-0.0181212926,0.0962440817,-0.0083090199,0.1133615955,0.011175103,0.1242528683,0.0351451299,0.1311024903,0.0610435536,0.1352698439,0.0863062815,0.1349689124,0.1106326709,0.1363161079,0.1337449519,0.1323847612,0.1557115569,0.1539657192,0.1754747058,-0.2321996224,0.0764300564,-0.2231348023,0.0477218947,-0.2075884898,0.0270261094,-0.1917376817,0.0061510961,-0.1766704295,-0.0153212205,-0.1592944699,-0.0352136842,-0.1407898825,-0.054807043,-0.1189985372,-0.0715629522,-0.0969741681,-0.0884736114,-0.0716928239,-0.1016552589,-0.0456721688,-0.1148117055,-0.0164404893,-0.1206631387,0.0123180664,-0.1193998499,0.0405061023,-0.1167061469,0.0676368141,-0.1091013845,0.0936375575,-0.098337519,0.118333731,-0.0849285923,0.1421048154,-0.0699395954,0.1637398093,-0.0519975483,0.1840516771,-0.032449644,0.2000279767,-0.0093356205,0.2098236111,0.0151785522
-0.1269281521,0.1077791147,-0.1241640752,0.1052048274,-0.1099347809,0.08820674,-0.098890876,0.0707352846,-0.0896721084,0.0547458347,-0.0762059969,0.0413647539,-0.0599316125,0.0286950147,-0.0435573894,0.0142624604,-0.0245416061,0.0007401773,0.0001500352,-0.0053014678,0.0236964624,-0.0169431985,0.0477448728,-0.0191483061,0.0717416394,-0.0144512894,0.0935112802,-0.0035460594,0.1112873023,0.014024006,0.1266467626,0.03517719,0.1373405798,0.0600005868,0.1372745216,0.0862330158,0.1383560586,0.1104520019,0.1321420509,0.1304724438,0.1139278701,0.1533532565,0.1276608943,0.1724106586,-0.2339289476,0.0829418245,-0.2227722172,0.0482063612,-0.2115885441,0.0247842143,-0.1960724168,0.0036799292,-0.1824744197,-0.0187417789,-0.1663913366,-0.040693199,-0.1468403005,-0.0613254365,-0.1244210748,-0.0781025387,-0.1029443273,-0.0962938586,-0.0773235191,-0.111881276,-0.0501101316,-0.1251317189,-0.0185628097,-0.1358417331,0.0147701281,-0.1338891812,0.0436119494,-0.1270421458,0.0721969611,-0.1189319902,0.0970216079,-0.1039849674,0.1227220868,-0.0909979999,0.1439040841,-0.0716465028,0.1624712609,-0.0507985814,0.1777857723,-0.0279754226,0.1915585058,-0.0056242973,0.1997339561,0.0248232534
