V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88
-0.169590492,0.1035656593,-0.143118423,0.0860102096,-0.1263879185,0.0745175639,-0.1105768914,0.0631622438,-0.0937490123,0.0532475153,-0.0773021074,0.0422842964,-0.0597930205,0.0316823106,-0.0411820921,0.0196365605,-0.0214967159,0.0051150739,-0.005140301,-0.0139328268,0.0202391994,-0.0186108986,0.0448670801,-0.0203274204,0.0685671779,-0.0140973689,0.0916772186,-0.005183724,0.1121389711,0.0098852779,0.1224508025,0.0341871475,0.1278701273,0.060554106,0.1335456585,0.0856822204,0.134740516,0.1098990791,0.1369616347,0.1325314044,0.1400408153,0.1501511306,0.1509402892,0.1671594388,-0.2348880992,0.0538352393,-0.2305021728,0.0419634287,-0.2141905478,0.0208195938,-0.1990471192,-0.0007750261,-0.1798385566,-0.0193064504,-0.1594289071,-0.0357794802,-0.1365735038,-0.0488146403,-0.1147092483,-0.0642688305,-0.0906715174,-0.0760182066,-0.0657864089,-0.0898761098,-0.0424644753,-0.1043835213,-0.0168101471,-0.1136197168,0.010631042,-0.1189750452,0.0382607815,-0.1140786239,0.0654520105,-0.1074426167,0.0929529967,-0.1020148801,0.1198244854,-0.0930535886,0.1465619439,-0.080581085,0.1710376912,-0.061014003,0.1874590251,-0.0359941136,0.2011849713,-0.0121254704,0.2158432393,0.0043841474
-0.1657532802,0.0981165802,-0.1465220845,0.0814157204,-0.131031444,0.0683836116,-0.1163569931,0.0540508333,-0.0991184089,0.0437365225,-0.0840250316,0.0310398625,-0.06631153,0.0197706925,-0.0472867755,0.0088806707,-0.0257721571,0.0010323127,-0.0030814067,-0.0080993286,0.020593119,-0.0118872007,0.0446417362,-0.0116478707,0.0684735217,-0.0102077078,0.0914920164,-0.0045499735,0.1142176437,0.0046863472,0.1378446923,0.0215028596,0.1517328647,0.0525054256,0.1533919741,0.0837550175,0.1488776263,0.1088521078,0.1461960015,0.1328358148,0.1386980359,0.1523184481,0.141584265,0.1744745947,-0.2496268432,0.0473518857,-0.2339986703,0.0351376587,-0.214047148,0.0200934925,-0.1955991416,0.0025886175,-0.1771155166,-0.0156860907,-0.1579827659,-0.0334188865,-0.1371919576,-0.0493024162,-0.1147722818,-0.0633760496,-0.0914517622,-0.0765009341,-0.0673350903,-0.0891096198,-0.0426405875,-0.099138799,-0.0179532675,-0.10401761,0.0065677636,-0.1008470776,0.0339417672,-0.0949242,0.0629653053,-0.0915481616,0.0897900957,-0.08959486,0.1150336839,-0.0848569435,0.1393738257,-0.0726321843,0.1617403931,-0.0560688048,0.1845889895,-0.040724577,0.2053178034,-0.0244523069,0.2279110201,-0.0099374734
-0.1538301595,0.1036051342,-0.1399717663,0.0901596589,-0.1268964447,0.0736404075,-0.1106800951,0.0614548688,-0.0947115145,0.0498142528,-0.0783458869,0.0386832699,-0.0609145748,0.0279808312,-0.0418582588,0.0165111381,-0.0247292965,0.0005760432,-0.0031707155,-0.0128091626,0.0215407072,-0.0199353031,0.0458658055,-0.0176392517,0.0698894662,-0.0129355448,0.0919146973,-0.0035896523,0.1100197322,0.0127712394,0.1236015157,0.0344020322,0.130529975,0.0599140812,0.1349394569,0.0853115242,0.1383520426,0.1093448487,0.1426694873,0.1322131076,0.1398316022,0.1526061433,0.1507123977,0.1795387833,-0.239346946,0.0640375699,-0.2252841047,0.0464611186,-0.209040455,0.0255413686,-0.1929443358,0.0050385415,-0.1762321835,-0.0151390672,-0.1584810375,-0.0345832241,-0.1391395601,-0.053018532,-0.1168462431,-0.0684747538,-0.0939517384,-0.0832899628,-0.0700845892,-0.0978285071,-0.0456717276,-0.1118196934,-0.0194848725,-0.124481992,0.0118381365,-0.1300396823,0.0413650798,-0.1225260544,0.0684351301,-0.1141052628,0.094611653,-0.1027701708,0.119075025,-0.0884807813,0.1422956693,-0.0723667944,0.1643363227,-0.0544580329,0.1799593653,-0.0313209007,0.1949771344,-0.0080230145,0.2048561042,0.0100293781
-0.1748663996,0.1069154568,-0.1467049487,0.0836259501,-0.1292040122,0.0714674484,-0.1116388664,0.063509149,-0.0953413712,0.0522199582,-0.0789768926,0.0411659878,-0.0622906498,0.0304629568,-0.0413110873,0.0217746356,-0.0214255913,0.0046689939,-0.0087389267,-0.0171438732,0.0178215031,-0.0273764025,0.0448714288,-0.0297332519,0.0713579147,-0.0243313678,0.0960681386,-0.0129786067,0.1177845992,0.0056516336,0.1300783274,0.0322285007,0.1344850373,0.0600504535,0.1338096375,0.0861525152,0.1354287762,0.1105635534,0.1331682519,0.1337461282,0.1364433811,0.1505556701,0.1499187453,0.1618451354,-0.2353751564,0.0516252431,-0.2292062012,0.0431381887,-0.2108024553,0.0244761877,-0.1917488936,0.0062149625,-0.1756115065,-0.0148623695,-0.1584943808,-0.0347721493,-0.1422849686,-0.0561755679,-0.117840175,-0.0678025638,-0.0934000611,-0.0782442468,-0.0675360101,-0.0875962468,-0.0412631481,-0.0972734142,-0.0148704907,-0.1056132007,0.0109495393,-0.1126471794,0.0379495737,-0.1132921226,0.0650153034,-0.1072402437,0.0920789547,-0.0997586878,0.1182831238,-0.0893129578,0.1437877409,-0.0760981416,0.166808362,-0.0581956969,0.1878925991,-0.0376296995,0.2051253867,-0.0132275464,0.2198058687,0.0192468281
-0.1537185971,0.1083883261,-0.1340374136,0.0955886629,-0.1174781021,0.0820050526,-0.1038881078,0.0673819059,-0.0896328049,0.0540820738,-0.0752207184,0.0406204539,-0.0598748593,0.0270875239,-0.0442110453,0.0124033698,-0.0254980239,-0.0011662753,-0.0031299609,-0.0122317613,0.0214134452,-0.0139433376,0.0457346282,-0.0150158129,0.069454621,-0.0113782083,0.0925213314,-0.005928352,0.1116884654,0.0096738076,0.1262767407,0.0316544575,0.138153862,0.0558720197,0.1460483016,0.080506782,0.1537054271,0.1045910672,0.1555834971,0.1292916653,0.1567447816,0.1470010411,0.1652662097,0.1769932662,-0.2407908887,0.0448086165,-0.2382961317,0.0358354299,-0.2195446052,0.0142774195,-0.2003265757,-0.0041005704,-0.1809645396,-0.0214574491,-0.1618778995,-0.0393437985,-0.1420874941,-0.0576127889,-0.1201233645,-0.0733565391,-0.0997908669,-0.0928839994,-0.0724178378,-0.1046202543,-0.0448268854,-0.1118870769,-0.0169912622,-0.1151400245,0.0104860656,-0.1131793339,0.0375483112,-0.1098449438,0.0637197064,-0.1023928865,0.0897316057,-0.0940767379,0.1136890678,-0.0817516634,0.1355609168,-0.0667813702,0.1532942283,-0.0459739393,0.1735488396,-0.0267506026,0.1897846141,-0.0069181657,0.1947733184,0.0096729503
-0.1394086968,0.1138183604,-0.1294189382,0.1056524385,-0.1108889935,0.0918181901,-0.0983319308,0.0753850455,-0.0856856491,0.0654240729,-0.0702249581,0.0556463859,-0.0508737889,0.0445371144,-0.0338808146,0.0300572257,-0.0141363173,0.017593815,0.0079056039,-0.0006016923,0.0211360108,-0.0190351539,0.0449415546,-0.0199496342,0.0696188385,-0.0166300689,0.0927722517,-0.0066205114,0.111115946,0.0112854923,0.1177760201,0.0352110395,0.1173667993,0.0608143505,0.118401953,0.0861107143,0.1161885815,0.1081478858,0.1122547287,0.1295594643,0.1055298259,0.1572806272,0.1154242031,0.1719747152,-0.2380064497,0.0465749058,-0.2291423448,0.0429796557,-0.2147152527,0.0206383568,-0.1963199685,0.0019065936,-0.1802535562,-0.0189601366,-0.1610427846,-0.0372696734,-0.1412580486,-0.0552345114,-0.1204529192,-0.0728411812,-0.0982765102,-0.08920535,-0.0741488163,-0.1042735858,-0.0483122863,-0.1168632665,-0.0196765207,-0.1290470937,0.0123678306,-0.1275476276,0.0397538802,-0.1199476941,0.067373214,-0.1165483019,0.0950523584,-0.1110670438,0.124856046,-0.104897753,0.1541979854,-0.0882445768,0.1772783948,-0.0661472825,0.1974746713,-0.0429682129,0.2141848695,-0.0160900448,0.221483978,0.0075739471
-0.1711122603,0.1093062817,-0.1440610352,0.0839073477,-0.1302955532,0.0680266609,-0.1139458984,0.0553010881,-0.09787649,0.0435916094,-0.0813506511,0.0322908086,-0.0636310271,0.0221914012,-0.0465806775,0.0090604362,-0.0281923288,-0.005720432,-0.0048255968,-0.0181554088,0.0211055737,-0.0229900053,0.0460074533,-0.0223040438,0.0695389229,-0.0151688924,0.0922471688,-0.0056763876,0.1121120705,0.009685142,0.1286938894,0.0303938708,0.1395677982,0.0562142606,0.1425552503,0.0829933193,0.1437370104,0.1084450831,0.1361409016,0.1308582468,0.1344564231,0.1509726899,0.1525578097,0.1646225994,-0.2434202443,0.0811275666,-0.2234072926,0.0454480266,-0.2074341077,0.0246004763,-0.1928590042,0.0031512474,-0.1759960761,-0.0167702405,-0.1588067069,-0.0367216901,-0.1376671885,-0.0528711115,-0.1161980383,-0.0691671022,-0.0933064796,-0.0834193317,-0.068371401,-0.0948635301,-0.0425543112,-0.1038496197,-0.0156452131,-0.1079386631,0.0115024747,-0.1102416233,0.0380718255,-0.108890693,0.064345522,-0.1020625075,0.0910041739,-0.0951870441,0.1161462871,-0.0845689875,0.1402482956,-0.0709623765,0.1635500991,-0.0555639868,0.182432436,-0.0348808926,0.2079948433,-0.0183278369,0.2235213528,0.0241142443
-0.174596839,0.1043478678,-0.1450267545,0.0840337083,-0.1297837807,0.0714317582,-0.1162784613,0.0575780929,-0.1018530757,0.0426015396,-0.0842077652,0.0311807019,-0.066082615,0.0210748504,-0.0465975866,0.0118141115,-0.0264354004,0.0002039348,-0.0037316151,-0.0104076984,0.0209736948,-0.0165678781,0.0454651407,-0.019703726,0.0700860585,-0.0180305041,0.0947585663,-0.0111473702,0.1176235609,0.0042098706,0.1356540355,0.0284900426,0.1413305481,0.058282358,0.1411759939,0.0852838866,0.1378429765,0.1094933053,0.1320641295,0.1321719625,0.1314598098,0.1537127958,0.1429392808,0.1646724447,-0.2325220031,0.0639268793,-0.2249182123,0.0461175033,-0.2111556626,0.023941418,-0.1937739961,0.0046139418,-0.1767398982,-0.0152286192,-0.1574847654,-0.0333075325,-0.1403411703,-0.0537443217,-0.1173631976,-0.0675666381,-0.0926395373,-0.0781300946,-0.0681682406,-0.0904178037,-0.0424015413,-0.0977797334,-0.0158185745,-0.1032949815,0.0104942073,-0.1058951179,0.0374209976,-0.103964244,0.0653450827,-0.1017874212,0.0924555507,-0.1013866979,0.119549934,-0.0925321282,0.1450515935,-0.0781074518,0.16767956,-0.0594300906,0.1873757712,-0.0385884901,0.2074476223,-0.0168592776,0.2237265784,0.0146948469
-0.1629947234,0.1181863554,-0.135551069,0.0973416292,-0.124083125,0.0791184533,-0.1089786211,0.0675263686,-0.0932995721,0.0548270154,-0.0785778864,0.0411415931,-0.0631340029,0.0272920867,-0.0489027622,0.0108433133,-0.028103396,-0.0005571114,-0.0062236553,-0.0135269105,0.0138102354,-0.0340838093,0.0452477589,-0.0358945984,0.0744447765,-0.032663936,0.1022276864,-0.0188785389,0.1245426269,0.0041166861,0.1335522926,0.0333960453,0.1378141122,0.0613254012,0.1381738727,0.0879726212,0.1346559966,0.1120970503,0.1304110396,0.1350157525,0.1263441615,0.1569055526,0.1311049128,0.1651202152,-0.2311044722,0.0651301785,-0.2220693545,0.048005032,-0.2076914699,0.0262991234,-0.1929417239,0.005515764,-0.1743271498,-0.0124401283,-0.1560033091,-0.03109366,-0.1357744059,-0.0476534935,-0.1132638852,-0.0642036372,-0.0954719545,-0.0847822266,-0.0731456192,-0.1019031486,-0.0462778053,-0.1125796353,-0.0189257745,-0.1223131862,0.0107608414,-0.1258115166,0.0403301545,-0.123212905,0.0684890524,-0.116322081,0.0966651538,-0.107893676,0.1237354786,-0.0937194465,0.1452466918,-0.0734187779,0.1646835323,-0.0524268447,0.1799766902,-0.0289832457,0.1922181241,-0.0051888168,0.2024105461,0.0423750932
-0.1464526395,0.0915809811,-0.1414913977,0.0892564816,-0.1271200464,0.0741996701,-0.1111434555,0.0623017816,-0.0967021187,0.0488255496,-0.081492177,0.0355197407,-0.0642308627,0.0237893797,-0.0456049601,0.012398142,-0.0245136323,0.0022453074,-0.0034220881,-0.0124177018,0.0194053453,-0.0262234348,0.0462435212,-0.0306272132,0.0732746889,-0.0276314429,0.1006878662,-0.0188884475,0.1240729751,0.0015880394,0.1366755496,0.0297034902,0.140671845,0.0581431122,0.1415462401,0.084500764,0.1408670544,0.1090203515,0.138974229,0.1324810931,0.132911091,0.1534714024,0.1330757862,0.171953546,-0.2452683334,0.0768216255,-0.2340506648,0.0439146891,-0.2188378685,0.0195336189,-0.1989393644,0.0003247378,-0.1779385337,-0.0150799189,-0.1573373516,-0.0310513689,-0.1361558582,-0.0469522317,-0.1141784987,-0.0625449405,-0.0908590034,-0.0780572931,-0.0713027962,-0.0977817138,-0.0445360591,-0.1049814983,-0.0170451811,-0.1064052662,0.0112042463,-0.1085495152,0.0385808782,-0.1105886868,0.0659061986,-0.1088556978,0.0937293782,-0.103549818,0.119004625,-0.0899095717,0.1431865823,-0.0748167,0.1651768728,-0.0563482287,0.1831976251,-0.0342417617,0.1936863825,-0.0093581869,0.2065439101,0.0332871346
