SCALE,Specimen,L1X,L1Y,L2X,L2Y,L3X,L3Y,L4X,L4Y,Participant
0.0349052998,A,1652.8749772521,2531.4256596906,3372.2271155596,2478.3592356688,1085.0642402184,2648.1717925387,3552.6529572339,1581.5366696997,A
,A,1652.2365101701,2530.1704490214,3389.0787770244,2476.4536778815,1085.2261481387,2649.5410515543,3550.2290904439,1587.1426890111,A
,A,1652.2365101701,2524.2019188947,3377.1417167711,2482.4222080082,1085.2261481387,2643.5725214277,3550.2290904439,1593.1112191378,A
,A,1652.2365101701,2530.1704490214,3383.1102468978,2476.4536778815,1085.2261481387,2643.5725214277,3550.2290904439,1593.1112191378,A
,B,1796.154322111,2181.1872611465,3351.0005459509,2350.9998180164,1382.2362147407,2085.6676979072,3552.6529572339,1480.7104640582,A
,B,1795.4812332097,2183.9957016758,3347.2990661379,2351.114545222,1383.652654471,2082.5306895228,3556.1976205706,1485.6776768581,A
,B,1795.4812332097,2183.9957016758,3347.2990661379,2351.114545222,1377.6841243444,2082.5306895228,3556.1976205706,1485.6776768581,A
,B,1795.4812332097,2178.0271715492,3347.2990661379,2351.114545222,1383.652654471,2082.5306895228,3550.2290904439,1485.6776768581,A
,C,1769.6211101001,2547.3455868972,3409.3736123749,2462.4393084622,1292.0232939036,2520.8123748863,3573.8795268426,1576.2300272975,A
,C,1765.6385825764,2548.0760394013,3406.9843674044,2458.5480875016,1294.1247025713,2524.2019188947,3568.1346808238,1569.2370986312,A
,C,1765.6385825764,2548.0760394013,3406.9843674044,2458.5480875016,1294.1247025713,2524.2019188947,3568.1346808238,1557.3000383779,A
,C,1759.6700524498,2554.044569528,3406.9843674044,2458.5480875016,1294.1247025713,2524.2019188947,3574.1032109505,1569.2370986312,A
,D,1642.2616924477,2414.6795268426,3361.6138307552,2457.1326660601,1100.9841674249,2319.1599636033,3542.0396724295,1512.5503184713,A
,D,1640.2994499169,2416.7683766151,3365.2046565178,2458.5480875016,1097.163208392,2321.2718945887,3544.2605603173,1509.5517973647,A
,D,1640.2994499169,2416.7683766151,3365.2046565178,2458.5480875016,1103.1317385186,2321.2718945887,3538.2920301906,1515.5203274914,A
,D,1646.2679800435,2410.7998464884,3365.2046565178,2458.5480875016,1097.163208392,2321.2718945887,3544.2605603173,1515.5203274914,A
,A,1663.4882620564,2542.038944495,3372.2271155596,2494.2791628753,1079.7575978162,2664.0917197452,3557.959599636,1592.1499545041,B
,A,1663.4882620564,2536.7323020928,3377.5337579618,2488.9725204732,1074.450955414,2653.4784349409,3563.2662420382,1608.0698817107,B
,A,1642.2616924477,2547.3455868972,3377.5337579618,2499.5858052775,1069.1443130118,2658.785077343,3563.2662420382,1608.0698817107,B
,A,1656.2565681078,2537.8282648956,3384.3669199821,2496.1152564021,1060.3564467718,2645.0902867361,3563.1369563829,1590.3470719714,B
,B,1796.154322111,2202.4138307552,3356.3071883531,2366.9197452229,1376.9295723385,2106.8942675159,3563.2662420382,1496.6303912648,B
,B,1796.154322111,2202.4138307552,3351.0005459509,2377.5330300273,1366.3162875341,2101.5876251137,3568.5728844404,1486.0171064604,B
,B,1796.154322111,2202.4138307552,3356.3071883531,2377.5330300273,1382.2362147407,2117.5075523203,3557.959599636,1486.0171064604,B
,B,1799.2725972284,2198.1651957341,3360.5309151287,2370.9762309215,1376.1835110799,2096.862175107,3569.0959575963,1495.0030525576,B
,C,1759.0078252957,2563.2655141037,3409.3736123749,2478.3592356688,1276.103366697,2531.4256596906,3579.1861692448,1576.2300272975,B
,C,1764.3144676979,2573.8787989081,3419.9868971793,2478.3592356688,1281.4100090992,2536.7323020928,3584.492811647,1576.2300272975,B
,C,1753.7011828935,2568.5721565059,3414.6802547771,2478.3592356688,1276.103366697,2531.4256596906,3589.7994540491,1570.9233848954,B
,C,1769.4775911616,2573.5822721757,3414.1619260489,2484.1972539754,1268.9214892394,2537.8282648956,3592.9319624497,1584.388070758,B
,D,1642.2616924477,2430.5994540491,3372.2271155596,2467.7459508644,1085.0642402184,2335.0798908098,3557.959599636,1523.1636032757,B
,D,1636.9550500455,2425.292811647,3366.9204731574,2478.3592356688,1085.0642402184,2345.6931756142,3557.959599636,1507.2436760692,B
,D,1647.5683348499,2430.5994540491,3361.6138307552,2473.0525932666,1085.0642402184,2340.386533212,3547.3463148317,1512.5503184713,B
,D,1644.3385656811,2436.5252442685,3372.4489175554,2460.3612491219,1090.1514528386,2335.2222236414,3557.1779551696,1512.8800561977,B
