V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88
-0.1747964645,0.1097652444,-0.1499050384,0.0846001102,-0.1340179395,0.0680553825,-0.1198296288,0.0518955139,-0.103785976,0.0372118788,-0.0865236564,0.0237966516,-0.0675158631,0.0128702172,-0.0470764167,0.005765077,-0.0259002303,-0.0011476062,-0.0024964095,-0.0075932417,0.0206037969,-0.016365369,0.0441418141,-0.0217333019,0.0692300141,-0.0232216565,0.0958563936,-0.0177015163,0.1212783647,-0.0042725572,0.144271721,0.0160053245,0.1631944581,0.0463837142,0.167362408,0.0855632658,0.1538991477,0.1169470013,0.1350258518,0.1304276347,0.1197883073,0.1530407864,0.1343648902,0.1498559475,-0.2492146203,0.0782772576,-0.2293211866,0.0438434119,-0.2137113589,0.0206262984,-0.192977183,0.0030058111,-0.1734768389,-0.0154754155,-0.1544655122,-0.0333350612,-0.1326749756,-0.0472657599,-0.1112225328,-0.0616401075,-0.0861233157,-0.0724525285,-0.0645438519,-0.08894849,-0.0406443116,-0.0998554421,-0.0166692591,-0.1117061645,0.0107685023,-0.115027129,0.0378627149,-0.1098721339,0.0628152905,-0.1000398533,0.088482952,-0.0917851921,0.1124684914,-0.0803103871,0.1342758459,-0.0648051422,0.1553132402,-0.0470148506,0.1778728041,-0.0297131355,0.2003240518,-0.0147743947,0.2276915094,0.0381199075
-0.1762874823,0.1100422548,-0.149217025,0.0850060696,-0.1326431795,0.0679369912,-0.1150696219,0.0554826391,-0.0999394313,0.0419236039,-0.0846173999,0.0276012832,-0.068473892,0.0146520306,-0.0525850566,-0.0011454176,-0.0308873626,-0.0144023365,-0.0061072014,-0.0228433716,0.0195883537,-0.0267670266,0.0451781463,-0.0246982861,0.0707174867,-0.0203125719,0.094558883,-0.0092302797,0.1171646604,0.0054093518,0.1342502763,0.0276830923,0.1480289829,0.0538713627,0.1512899293,0.0822484954,0.1549150829,0.1082378464,0.1525740031,0.1337813332,0.1521901981,0.1483809715,0.1641681299,0.1721217154,-0.2410323661,0.0660578558,-0.2278101863,0.0445826528,-0.2135856178,0.0203662134,-0.1963628062,-0.0009522979,-0.178880237,-0.0215105715,-0.1589639035,-0.039778663,-0.1372129696,-0.0553856286,-0.1132214639,-0.0665390067,-0.0896679779,-0.0792100477,-0.0654408937,-0.0895307687,-0.0404358136,-0.0961849674,-0.0142338726,-0.0981755025,0.0126349616,-0.0999273792,0.0388329715,-0.1017030517,0.0645776887,-0.0992034287,0.0893047469,-0.0902162571,0.1128952708,-0.0777987379,0.1361034734,-0.0630019233,0.1599481159,-0.0500414366,0.1771526849,-0.0299272247,0.1919751558,-0.0094065485,0.2046265584,0.0225069684
-0.1615770064,0.1199361889,-0.1380347052,0.1010010333,-0.1197626244,0.0853859494,-0.1044694297,0.0702604084,-0.0889602183,0.0565625207,-0.0738001575,0.0424148775,-0.0580428952,0.029452971,-0.0407927796,0.0161961987,-0.0230221365,0.0022036283,-0.0024729213,-0.0106462233,0.0176507388,-0.0255796745,0.0449974276,-0.0287051213,0.072971696,-0.025859516,0.0996785442,-0.0132725484,0.1195591512,0.0081087457,0.1264789912,0.0341907627,0.1288793306,0.0602667177,0.1257973558,0.0846837634,0.1216503555,0.1084806604,0.1179006234,0.1290502268,0.1057396042,0.1503355899,0.1052868288,0.1685837825,-0.2472579978,0.062655874,-0.236329091,0.04076448,-0.2180105264,0.0180364148,-0.1960335734,0.0011348639,-0.1762828985,-0.0167295568,-0.1524661635,-0.0284158152,-0.1310018489,-0.0459217913,-0.1096234325,-0.0622347197,-0.0893632166,-0.0793427464,-0.0666882349,-0.0934080316,-0.0434776349,-0.1078538929,-0.0155310009,-0.1159904247,0.0124424115,-0.1145370725,0.0399846137,-0.1157005093,0.0681254411,-0.1120292516,0.0958307624,-0.1056500543,0.1233335339,-0.0960570599,0.1504515438,-0.0822995404,0.1741868166,-0.063810505,0.1968101667,-0.0443930376,0.2187318999,-0.0193837541,0.2265126565,0.0181151889
-0.1771816046,0.101211754,-0.1446261817,0.08342563,-0.1256883998,0.0721791131,-0.1107521214,0.0578348969,-0.0972047207,0.0423343817,-0.0810857292,0.0284898128,-0.062565352,0.0194211309,-0.0442100734,0.0084691662,-0.0242400327,-0.0003842699,-0.002329608,-0.0048879969,0.0204516464,-0.0076741814,0.0433098005,-0.0077848174,0.0654828359,-0.0047287447,0.0881270338,0.0034657781,0.1103987223,0.0110827443,0.1288610971,0.0277734545,0.1447170791,0.0506172645,0.1517042604,0.0788917891,0.1526611187,0.1062893357,0.1477912412,0.1326400054,0.1389617626,0.1532849401,0.138121628,0.1694266456,-0.2593534331,0.0447904921,-0.2403650514,0.0297343276,-0.222485732,0.0089874866,-0.2006869434,-0.0111434569,-0.1770098843,-0.0231295178,-0.1567405362,-0.0394820405,-0.1335447032,-0.0506931119,-0.110053392,-0.062168469,-0.0864042336,-0.0748759035,-0.0641874151,-0.0878620689,-0.0407337164,-0.0935808817,-0.0162646027,-0.0928848106,0.0092917749,-0.0910968676,0.0357601489,-0.0878825942,0.0616620247,-0.0855771098,0.0868854153,-0.08058994,0.1124418851,-0.0755795781,0.1374724285,-0.0692196277,0.162361587,-0.0626974215,0.1869662458,-0.05408658,0.2243097518,-0.0438779576,0.2299739787,-0.0184622016
-0.1735609056,0.1069519013,-0.1456757102,0.0849607505,-0.128000123,0.0701968031,-0.1109735979,0.0580243147,-0.0946202578,0.0458434271,-0.0780742383,0.0337920057,-0.0610176886,0.0220488048,-0.044210908,0.0086413415,-0.0252919135,-0.0034604115,-0.0037893783,-0.0136916423,0.0192379126,-0.0193738773,0.0424730907,-0.0157197032,0.0664133609,-0.0104795379,0.0894611609,-0.0026948255,0.1106624475,0.0094381163,0.1273684333,0.029238599,0.1376579865,0.0541925384,0.1480976763,0.0777332207,0.1560819303,0.1048406221,0.1518066843,0.1333548202,0.1468697316,0.1486929228,0.1574288424,0.1642999023,-0.248828719,0.0534691696,-0.2421508048,0.0331602772,-0.2211423859,0.0103212041,-0.2010044516,-0.0083391165,-0.1815276802,-0.0277963497,-0.1585870976,-0.0419607185,-0.136716053,-0.0562901869,-0.1133898759,-0.0681461176,-0.0895875365,-0.0786439636,-0.0651045875,-0.0855377403,-0.0400657442,-0.0900135285,-0.0145369204,-0.0925405426,0.0121962786,-0.0931543127,0.0382212912,-0.0957402201,0.0629016244,-0.0945072075,0.0877398375,-0.0887742908,0.1120279147,-0.0791032172,0.1355163366,-0.0659616706,0.1592727743,-0.0526661923,0.1848858535,-0.0417264031,0.2083520079,-0.0226498754,0.2231834018,-0.0002290899
-0.1754721743,0.1042687146,-0.1455813213,0.0858734098,-0.127635373,0.0722133013,-0.1121508283,0.0580706909,-0.0970046404,0.0440972634,-0.0818283695,0.029811599,-0.0649397659,0.0175468038,-0.0476370301,0.0047148344,-0.0297130709,-0.0102598148,-0.0063939573,-0.0213378346,0.0190317806,-0.0266045849,0.0447876575,-0.0253428369,0.0685815657,-0.0165970781,0.0928677522,-0.00843227,0.1162510841,0.0041360306,0.1344192349,0.026184205,0.1450419908,0.0533620321,0.1505450876,0.0808062706,0.1515517296,0.107178808,0.1494703835,0.1343394196,0.1398097704,0.1530566303,0.1488598364,0.1708357079,-0.2427259866,0.0636141882,-0.2348712712,0.0397940417,-0.2173893032,0.0163993761,-0.198805564,-0.0041794693,-0.1796423118,-0.0236947716,-0.1576465831,-0.0390657989,-0.1351844692,-0.0524527322,-0.112483849,-0.0659967815,-0.0898138975,-0.0795433571,-0.0658195945,-0.0891262967,-0.0403014384,-0.0937711775,-0.0142790137,-0.0981134041,0.0107184508,-0.0992547061,0.0363837815,-0.095791988,0.0622489862,-0.0921677904,0.0870679394,-0.0853088749,0.111655641,-0.0759797831,0.1358823912,-0.0646157869,0.1595815726,-0.051721401,0.1819610025,-0.0349236167,0.210883688,-0.0230282323,0.2197184873,0.0110070601
-0.1773877021,0.1054884908,-0.1445419754,0.0860304814,-0.1289276399,0.0704349604,-0.1151493961,0.0541783503,-0.0988257562,0.0400574348,-0.0812526339,0.0285913874,-0.063511431,0.0180740917,-0.0445119111,0.0083575568,-0.0229226363,0.0011547614,-0.0017544702,-0.0105358229,0.0205133609,-0.0167711335,0.0439977721,-0.0154986395,0.0675676932,-0.0116794477,0.0898377732,-0.0016755524,0.1117894655,0.0099033831,0.1302847744,0.0284012977,0.1387212669,0.0549646772,0.1442160536,0.0809187826,0.1468873056,0.1064821023,0.1433374163,0.1314175796,0.1395229341,0.1511382498,0.1484435263,0.1709751484,-0.2540502709,0.059116243,-0.2365079327,0.0360877738,-0.2167535803,0.0149927868,-0.1958812686,-0.0027524958,-0.1763754829,-0.0207526726,-0.1564007202,-0.0382127643,-0.1345909097,-0.0527331864,-0.111927707,-0.0654552592,-0.0876669305,-0.0754676754,-0.0637436822,-0.0861646506,-0.0385123042,-0.0932704171,-0.0135059527,-0.1003493042,0.011773975,-0.101545093,0.0375963444,-0.1007936076,0.0626131367,-0.0955009661,0.0874856093,-0.0863713362,0.1129906932,-0.0779263103,0.1377380365,-0.0677805397,0.1620245151,-0.0565160101,0.1875072832,-0.0460206498,0.2178676768,-0.0290313122,0.2219856818,-0.0039606926
-0.1599864265,0.1087802345,-0.1427511541,0.0946784878,-0.124504887,0.079534777,-0.1106051062,0.0629280187,-0.0988397338,0.0459439758,-0.0846549115,0.03045782,-0.0704461332,0.0147215038,-0.0527302028,-0.0007584231,-0.031874502,-0.0125215002,-0.0096604598,-0.0271242342,0.0187259323,-0.0344060962,0.0473179691,-0.0337468734,0.075062725,-0.0271007919,0.0998178753,-0.0133389661,0.1217636024,0.005070517,0.136135152,0.030696715,0.1424740525,0.0591032452,0.1417479197,0.086011026,0.1396161441,0.1107976909,0.1368831472,0.1351104157,0.1313613768,0.1575187887,0.1370513779,0.1723739076,-0.2421288572,0.0788916805,-0.2266925596,0.0481578922,-0.2078348477,0.0288193233,-0.1880867374,0.009541442,-0.1687498639,-0.0099043225,-0.1506831749,-0.0301598485,-0.1336577883,-0.0500878855,-0.1155765306,-0.0691396719,-0.0960790886,-0.0875599353,-0.0726726161,-0.1045707601,-0.0438784074,-0.1146058638,-0.0145486596,-0.1166688453,0.0129055881,-0.1140188,0.0402263496,-0.1109231879,0.0673705136,-0.1056617883,0.0935819882,-0.0967033813,0.1194591325,-0.0857734599,0.1420412272,-0.0687906188,0.1597260504,-0.0478040967,0.1779334401,-0.0271715947,0.1938708898,-0.0078177782,0.2115701944,0.0372212622
-0.1455405358,0.1166531887,-0.1341819636,0.1026932784,-0.1173077958,0.0850868335,-0.10621559,0.0661683249,-0.0950201651,0.0494806337,-0.0812704628,0.0339206033,-0.066936049,0.0185007813,-0.0496998333,0.0034947214,-0.0290690142,-0.0082929313,-0.0075162656,-0.022084542,0.0194397654,-0.0314266432,0.0477636536,-0.0296922149,0.0746657566,-0.0233436827,0.0986954719,-0.0096924831,0.119264839,0.0085084229,0.1336918498,0.0326476842,0.1394042368,0.0602545966,0.1368662976,0.0859563092,0.1322536033,0.1076920336,0.1205107012,0.1282931153,0.1106591791,0.1587136807,0.1207713537,0.1691095449,-0.2372004846,0.0936546732,-0.2204821348,0.0501820351,-0.2081419752,0.026376896,-0.1937827811,0.0037650985,-0.1768847917,-0.0170326094,-0.1586670259,-0.0367948977,-0.1393520995,-0.0552943542,-0.1193011815,-0.0739592269,-0.0958481127,-0.0890637432,-0.0716686482,-0.1034799712,-0.0449369972,-0.1142064931,-0.0166974979,-0.1225673493,0.0136346354,-0.125271863,0.0432958082,-0.120560306,0.0713367297,-0.11265211,0.0970558332,-0.0999418693,0.1201973457,-0.0844433019,0.1417584085,-0.067065589,0.1614661046,-0.0476246092,0.1816793163,-0.0265898541,0.2064827301,-0.0126998904,0.2248277857,0.0326280794
-0.1576269938,0.1055056365,-0.1396850573,0.0941596822,-0.1221720549,0.0787984153,-0.1052832453,0.0655342935,-0.090997287,0.0497629468,-0.0778559833,0.034102787,-0.0628601816,0.0201445185,-0.0444526852,0.0088239758,-0.0250570071,-0.0031285825,-0.0029903267,-0.0126760261,0.0203361401,-0.0195482673,0.0449604455,-0.0205686005,0.0700351865,-0.019094634,0.0951021936,-0.0121746693,0.1201646912,0.0011839753,0.1362077204,0.0263723674,0.1457900557,0.0540233328,0.1490963041,0.0818840185,0.1479443597,0.1082354807,0.1401167401,0.1323561604,0.1273324194,0.1512651806,0.1243446759,0.1718350068,-0.2507622033,0.0669204952,-0.2366495249,0.0397815347,-0.2226813031,0.0134707421,-0.2015529755,-0.007033541,-0.1813346842,-0.0256157122,-0.159261541,-0.0409187143,-0.1375320115,-0.056079379,-0.1141226978,-0.0685235203,-0.0909284568,-0.0817429476,-0.0663504852,-0.0919981535,-0.0409667507,-0.0998513032,-0.0151633665,-0.1036760913,0.0106947748,-0.1008944152,0.0376804098,-0.0991846921,0.0638725633,-0.0963536627,0.0896703332,-0.0912530856,0.1149411551,-0.082752493,0.1384322724,-0.0688855178,0.1615944894,-0.0540214498,0.1847947451,-0.0383696056,0.207708488,-0.0196444348,0.2154666597,0.0098289486
