V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88
-0.1475767034,0.1093916313,-0.1389915887,0.0983886255,-0.1218407164,0.0834204821,-0.106084545,0.0695065239,-0.0899431594,0.0569727158,-0.0734844527,0.044196121,-0.0567408333,0.0314226177,-0.0402894206,0.0181986105,-0.0209623547,0.0068849938,-0.0003086952,-0.0057312961,0.0207237257,-0.0165312142,0.0446639888,-0.0217221756,0.0706669197,-0.0200411622,0.0962630848,-0.0106939786,0.1200819855,0.0062096008,0.1296425808,0.0332927252,0.1269769967,0.059118194,0.1246512395,0.084867364,0.1221560752,0.10641158,0.1125184347,0.1288859823,0.1070668597,0.1598282664,0.1159121094,0.1686627011,-0.2368345169,0.0694655544,-0.2279207507,0.0454911985,-0.2138235906,0.0218928601,-0.196240809,0.0009025279,-0.1782708985,-0.0191552503,-0.1599704171,-0.0388323824,-0.1394046816,-0.0559871486,-0.1187568176,-0.0732945344,-0.095962407,-0.0893237122,-0.0702388356,-0.1007337618,-0.04355276,-0.1099661799,-0.0153351036,-0.1138020023,0.0120633698,-0.1124487876,0.0391482155,-0.1117421673,0.0662266923,-0.1122976285,0.0959821339,-0.1092938952,0.1253239179,-0.0965268903,0.1491564387,-0.0780733617,0.1697379463,-0.0600358637,0.1935979292,-0.0444374016,0.2187778108,-0.0214819156,0.2311956023,0.0187418338
-0.1595019515,0.0987487669,-0.1475173656,0.0876424305,-0.129827641,0.0723493836,-0.1137215462,0.0585280698,-0.0979667401,0.0450020303,-0.082066498,0.0316420939,-0.0665151581,0.017141888,-0.0474022569,0.0059316821,-0.0283660243,-0.0071775901,-0.0059430903,-0.0193846543,0.0195484889,-0.0247571763,0.0453716187,-0.0252314493,0.0714483511,-0.021655198,0.096460977,-0.0112702465,0.1183242789,0.0058574231,0.1315492813,0.0303935464,0.1423725127,0.0562737872,0.1467733807,0.0834792279,0.1466821119,0.1098923359,0.136529543,0.1323087242,0.124808687,0.1568135348,0.146058993,0.1768779586,-0.2467885516,0.0662136441,-0.2330570701,0.0434695275,-0.2139302932,0.0223143411,-0.195173188,0.002181797,-0.1757074203,-0.0162905476,-0.1561581545,-0.0342579585,-0.134494653,-0.0491329499,-0.1123638,-0.0636187051,-0.0892981667,-0.0763889069,-0.0645757357,-0.0866813879,-0.0400785697,-0.0979862937,-0.0146919765,-0.1066826248,0.0110936167,-0.1145602361,0.0396046603,-0.1126126662,0.0655305824,-0.1033976623,0.0908013457,-0.0936211557,0.1144860747,-0.0806364031,0.1366161411,-0.0646146551,0.1594666721,-0.0483405936,0.1840844097,-0.0348831141,0.2096344877,-0.0193822638,0.2178996365,0.0095022461
-0.1435398386,0.1198043552,-0.1330435788,0.1026774359,-0.1151466073,0.0877670047,-0.1020079077,0.0692092763,-0.089784607,0.0540889462,-0.0741639934,0.0408996649,-0.0587679184,0.0262497497,-0.0436079145,0.0108710511,-0.0271568321,-0.004958496,-0.0059733206,-0.018533632,0.0188761122,-0.029953009,0.0478940213,-0.0303092371,0.0737017349,-0.0211047426,0.0981758544,-0.0092213378,0.1157288717,0.0108619495,0.1239339765,0.0349540174,0.1274755442,0.0614418974,0.1307963459,0.0867658814,0.1290056335,0.1084119744,0.1210437915,0.1301052391,0.1127023788,0.1589457457,0.1233771306,0.1835224582,-0.2406021982,0.0804626745,-0.226348261,0.0474029804,-0.209701532,0.0250035046,-0.1953227935,0.0017334855,-0.175415828,-0.01652504,-0.1572358817,-0.0363137008,-0.1370473435,-0.0538412254,-0.1153971832,-0.0697103549,-0.0956512852,-0.0881880511,-0.0722895189,-0.1027748697,-0.0489460358,-0.1187584291,-0.0182822018,-0.1312005259,0.0156230736,-0.1314806522,0.0449289704,-0.1242053716,0.0722315449,-0.1164573597,0.0992397059,-0.1054519656,0.1241606093,-0.0904682207,0.1466314115,-0.072420597,0.1650789804,-0.0513776524,0.1834489017,-0.0302934198,0.2039036592,-0.0126496662,0.2074743287,0.0250182646
-0.1645860673,0.1214928242,-0.1389451877,0.0977658183,-0.1222622326,0.0814820117,-0.1065218222,0.0671586713,-0.0921590358,0.0529342005,-0.0745389567,0.0404698667,-0.0614941529,0.0238679347,-0.044977414,0.0108598192,-0.0264953648,-0.0023903558,-0.0049584954,-0.0137401176,0.0179499805,-0.0248486217,0.0446211227,-0.025269854,0.070116722,-0.0184286818,0.0914638981,-0.0040752287,0.109882921,0.0131198439,0.1215231686,0.0357233808,0.1288462689,0.0612271511,0.1332097262,0.0864252106,0.1322607853,0.1103365657,0.1282514017,0.1340510143,0.1242508071,0.1575998157,0.1322550683,0.1757984003,-0.2324982398,0.0495812147,-0.2305446521,0.0434123884,-0.2113950989,0.0227579453,-0.1937145614,0.0017444134,-0.1750271336,-0.0171921009,-0.1553636778,-0.0349381974,-0.1350584506,-0.0517152018,-0.1135680804,-0.0674431588,-0.0922446538,-0.0835844166,-0.0684584856,-0.0963616006,-0.0445486274,-0.1101042285,-0.0161441535,-0.1182001747,0.012189147,-0.1165668058,0.0396004022,-0.1155092917,0.0679768024,-0.1119743441,0.0950508945,-0.101914984,0.1206313788,-0.0893660316,0.1439161255,-0.0733808039,0.1665489617,-0.0577734557,0.1916841358,-0.0422085507,0.2129352138,-0.0182497751,0.2203396121,0.007427491
-0.1795417055,0.1021288968,-0.1499447473,0.0823348344,-0.1324854942,0.0672878237,-0.114567968,0.0561988341,-0.0989481861,0.0430888362,-0.082058053,0.0308573352,-0.0643182781,0.0202779229,-0.0452357599,0.0106735963,-0.0244487478,0.0017357713,-0.0027507142,-0.0080026407,0.0201426318,-0.0141310287,0.0438504909,-0.0172458083,0.068393896,-0.0152505675,0.093633929,-0.0122667882,0.11984468,0.0003163524,0.1386685977,0.026831262,0.1402279986,0.0569444577,0.1412387801,0.0831875624,0.1415630241,0.1080732029,0.1404165535,0.1326827678,0.135842029,0.1537610748,0.1420927369,0.1765155557,-0.2465774486,0.0455022063,-0.2430555705,0.0332478978,-0.2202671142,0.0124799488,-0.1977778215,-0.0031696568,-0.1762882265,-0.0181806774,-0.1541304995,-0.0314924731,-0.1314845033,-0.0447152344,-0.1094371979,-0.0587303348,-0.0865768441,-0.0702585164,-0.0624814553,-0.0803228029,-0.0383116209,-0.0896100603,-0.0143254793,-0.0954319481,0.0110292865,-0.0959589998,0.0375027862,-0.096511414,0.0632022637,-0.0953326096,0.0889555677,-0.09045885,0.114879754,-0.0843008534,0.1407846434,-0.0751845951,0.1653369904,-0.0619644705,0.1910357047,-0.0476716477,0.2153921859,-0.0262158216,0.2209789056,-0.01171834
-0.1328971079,0.0971628493,-0.1350693346,0.1008495331,-0.1179706852,0.083509877,-0.1052918183,0.0661683993,-0.0917534454,0.0506321342,-0.0783156903,0.0347593342,-0.0630215672,0.0205616544,-0.0480586202,0.0046988813,-0.0288266456,-0.0114824512,-0.0031126972,-0.0216427119,0.0228704082,-0.0227559918,0.0480227196,-0.020700819,0.0714554725,-0.0122228056,0.0922245841,-0.0011791804,0.1016923779,0.0174644622,0.1132226343,0.0430542971,0.1285280505,0.0670096627,0.1419272997,0.086316439,0.1483219277,0.1098074045,0.1485022522,0.135526614,0.1410694737,0.1544224321,0.1720512895,0.1843568427,-0.2387691403,0.0594602979,-0.2300187416,0.0465558538,-0.2184319908,0.0204351063,-0.2005904517,-0.0023631771,-0.1819284512,-0.0219132937,-0.1648480698,-0.0435653896,-0.1429253824,-0.0614892334,-0.120954231,-0.0782839737,-0.0977363582,-0.0930316958,-0.0747601219,-0.1081481346,-0.0458610809,-0.1243121925,-0.0097578013,-0.1256088058,0.0152949843,-0.1126167383,0.0403325321,-0.1046108009,0.0651210367,-0.0952703779,0.0894554221,-0.0836989682,0.1141955087,-0.0729446009,0.1376496607,-0.0590561713,0.1619241444,-0.0459127119,0.185100953,-0.0314002784,0.2017371364,-0.0139777751,0.1901995646,-0.0145637958
-0.1624500155,0.0996015806,-0.1485965312,0.0880825016,-0.1303091214,0.0732963602,-0.112893498,0.0611856569,-0.0965643597,0.0483789156,-0.081073742,0.0342998631,-0.0638426697,0.0223742966,-0.0466878399,0.0087924898,-0.0280371428,-0.0046159612,-0.0084523613,-0.0201722768,0.0164342243,-0.0307803466,0.0445770378,-0.0361827245,0.0755839932,-0.0321768163,0.1017067969,-0.016267962,0.1231373295,0.0041222132,0.1349587542,0.0310595774,0.1397281905,0.0591174912,0.138592052,0.0856238435,0.1390975532,0.1105435219,0.1358908508,0.1345527543,0.1280464627,0.1568831369,0.1330246551,0.183857134,-0.2421077265,0.0663292604,-0.2303767424,0.0467770979,-0.2086866754,0.0291632183,-0.189338858,0.0084069034,-0.171394132,-0.0115019421,-0.1525146552,-0.0302678851,-0.1341032327,-0.049314654,-0.11551492,-0.0680243622,-0.0924541491,-0.0820146352,-0.0688474155,-0.0956216634,-0.0428435756,-0.1047877022,-0.0157997288,-0.1113637351,0.011623405,-0.1115005522,0.0390864683,-0.1108655164,0.0666320945,-0.1066476868,0.0928890844,-0.0972197996,0.1183731339,-0.085615257,0.1409749112,-0.0690846261,0.1633398627,-0.0522152565,0.1824033173,-0.0318585771,0.2015112568,-0.0118386545,0.2152776585,0.017490776
-0.1479084914,0.091606546,-0.1446850594,0.0891205868,-0.1265263744,0.0749741394,-0.1107743779,0.060919586,-0.094988471,0.0474394205,-0.0783896181,0.0349561783,-0.0618852314,0.0223026956,-0.043848594,0.0102775265,-0.0239398354,-0.0008870754,-0.0020587726,-0.0112093152,0.0210003241,-0.0192978223,0.0456247878,-0.0192866162,0.0700203388,-0.0149859032,0.0916358366,-0.0029446893,0.1108677798,0.0126192382,0.1250018859,0.0331797729,0.1318496422,0.0583472036,0.1356385297,0.0843859556,0.141473456,0.108235798,0.1410612596,0.1324630241,0.134479225,0.1542176483,0.1502577747,0.1803359196,-0.2513961894,0.0633403876,-0.2336446783,0.0424687832,-0.213933771,0.0221443754,-0.1950759874,0.002070215,-0.174497902,-0.0151320209,-0.1555528566,-0.0339919199,-0.1381644659,-0.0538590304,-0.1176508296,-0.0718698771,-0.0937364369,-0.0861589348,-0.0682027679,-0.0958894038,-0.0426723555,-0.1058104205,-0.0156044044,-0.1118360968,0.0119034763,-0.1148970729,0.0397198768,-0.1113818797,0.0654818591,-0.1026520681,0.0914172766,-0.0946316813,0.1165661981,-0.0839898916,0.141243256,-0.0715849087,0.1652361179,-0.056289444,0.1831770376,-0.0345298719,0.2070002383,-0.0179658971,0.2144812934,0.0056768409
-0.1781268436,0.1120432412,-0.1480522903,0.0869858572,-0.1298852604,0.0723070266,-0.1125101939,0.060369244,-0.0974173735,0.0461713248,-0.0823423951,0.031655885,-0.0642753709,0.0211918142,-0.0465645055,0.0085600698,-0.0260853195,-0.0015386721,-0.0040403098,-0.0120909896,0.0179676736,-0.02367023,0.0439503976,-0.0272192543,0.0712267888,-0.0240356986,0.095431821,-0.0109921905,0.1179431474,0.0052490855,0.1332188808,0.0298215165,0.1413226344,0.0575165759,0.1439770605,0.0848646062,0.1420980944,0.1105343671,0.1326136222,0.1330011067,0.1253470604,0.1566829494,0.1416277409,0.1788698093,-0.2413108097,0.0483254177,-0.2333736563,0.0410435039,-0.211852355,0.0231902413,-0.1924765039,0.003723031,-0.1725472684,-0.0135312179,-0.1517073383,-0.0299904402,-0.1321881655,-0.0466666416,-0.1090948291,-0.0588861447,-0.0864656739,-0.0740972141,-0.063929788,-0.0883197867,-0.0416034076,-0.1025060097,-0.0181539243,-0.1155866472,0.0114933421,-0.1237819521,0.0412482898,-0.1150019716,0.0652867136,-0.1028284657,0.0883746473,-0.0892639948,0.1129831914,-0.0777576415,0.1358319013,-0.0629598493,0.1592340218,-0.0482318442,0.1831108108,-0.0338238813,0.211097483,-0.0246254849,0.2286182595,-0.0047004505
-0.1489091854,0.1254430821,-0.1310694289,0.1047169591,-0.117737452,0.085238306,-0.1046772364,0.0689463954,-0.0924716787,0.052353262,-0.0797590747,0.0366516353,-0.0642198705,0.0229214862,-0.04843907,0.0079296521,-0.0305472662,-0.0067320584,-0.0106653039,-0.0213625538,0.0135114993,-0.0369116626,0.0471264177,-0.0406893022,0.0766606501,-0.029381223,0.1018198721,-0.0143941346,0.120898625,0.0076103576,0.1316048005,0.0337807335,0.1349752901,0.0612926702,0.1361003415,0.0874640617,0.1325612011,0.1103216106,0.1222195288,0.1323039255,0.1158310207,0.1598117061,0.1238437863,0.1806482705,-0.2348293097,0.0596169791,-0.2281356246,0.0474520841,-0.2125780896,0.0244082808,-0.1937026087,0.0048632643,-0.1745957124,-0.0138786447,-0.1538220935,-0.0313617221,-0.1358867765,-0.0512801384,-0.116838115,-0.0697523487,-0.0956988389,-0.0868921621,-0.0713538447,-0.1014270698,-0.0441403083,-0.1105448456,-0.0164620646,-0.1162203121,0.011157204,-0.1201252173,0.0399451002,-0.1210085861,0.0703275132,-0.1173748343,0.0989025638,-0.1051803081,0.1228112292,-0.0884114434,0.1438488451,-0.0694870133,0.1609007172,-0.047816934,0.1798759922,-0.0263161101,0.2027036034,-0.0095578824,0.2189131517,0.0223317847
