V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88
-0.1743171123,0.10937908,-0.1485164607,0.0833112586,-0.1336130674,0.0677777796,-0.1199193408,0.0521516479,-0.1041619555,0.0376598234,-0.0871603393,0.0243329835,-0.0680069744,0.0131208727,-0.0473856341,0.0058231248,-0.0260680763,-0.0011859351,-0.0023310551,-0.0077375361,0.0214735115,-0.0167366904,0.0451923056,-0.0220993759,0.07013965,-0.0234444097,0.0964082524,-0.0178039686,0.1214979156,-0.004375554,0.1443691927,0.0158891794,0.1634250073,0.0465258682,0.1674796211,0.0861187273,0.153630805,0.1175858228,0.1351235475,0.1301640977,0.1201766254,0.1522394535,0.1344871206,0.1495469618,-0.2486475912,0.0779005717,-0.2289097202,0.0437518618,-0.2136596215,0.0209237464,-0.1934014325,0.0036115437,-0.1741850294,-0.0145758712,-0.1553698302,-0.0324625815,-0.1336310742,-0.0465372498,-0.1121684324,-0.0610654271,-0.0868606262,-0.0719336543,-0.06473067,-0.0887420675,-0.0405156849,-0.0998817392,-0.0165102903,-0.1118027764,0.0104371606,-0.1152702797,0.0371182513,-0.1103380294,0.0623395116,-0.1004357111,0.0884388184,-0.0920441659,0.1124432387,-0.0805980266,0.1342953275,-0.0650471084,0.1554614312,-0.0471307265,0.177839786,-0.0299190953,0.2005616058,-0.0146076615,0.227731333,0.0379612364
-0.1755833723,0.1098846535,-0.1475757997,0.0838369321,-0.1319231647,0.0676302593,-0.1149315588,0.0556083828,-0.1002565821,0.042449346,-0.0852970079,0.0283726547,-0.0692995799,0.0155323578,-0.0534292639,-0.0004321818,-0.0314008541,-0.0142539575,-0.005975372,-0.0230815188,0.0203176003,-0.0271037733,0.0459603474,-0.0249881435,0.0713204353,-0.0205821137,0.0948806326,-0.0095859406,0.1173901403,0.0049926879,0.1345439936,0.0273573766,0.1483680982,0.0537885141,0.1515832509,0.0822063342,0.155173604,0.1080498184,0.1528482345,0.1331636448,0.1524702722,0.1475022648,0.16450139,0.1712932785,-0.2403225948,0.0660765311,-0.2271897988,0.0446594782,-0.2134643502,0.0210763632,-0.1966831007,0.0001026763,-0.17948473,-0.020373485,-0.1598383385,-0.0387202048,-0.1382514248,-0.054577974,-0.1142266047,-0.0659121304,-0.0905976825,-0.0787070714,-0.066213868,-0.0892843524,-0.0412027817,-0.0961606808,-0.0148925216,-0.0982844325,0.0125771052,-0.1001265025,0.0389746583,-0.1019511957,0.0644013418,-0.099544194,0.0890305306,-0.0906870528,0.1127832868,-0.0782588158,0.1362613468,-0.0633558603,0.1600463457,-0.0504480268,0.1773973381,-0.0301234731,0.1925629222,-0.0088578451,0.2046474768,0.0218173721
-0.1607808871,0.1200485117,-0.1360901604,0.0999957086,-0.1189846779,0.0851778746,-0.1043678835,0.0705508597,-0.0892835359,0.0571099005,-0.0745279419,0.0432106853,-0.0589213143,0.0301657552,-0.0417288404,0.0168202236,-0.023839542,0.0025213979,-0.0027920871,-0.0108406691,0.0181016114,-0.0263462541,0.0456369018,-0.0293463104,0.0734238697,-0.0263967898,0.0998278501,-0.0138283535,0.1197477393,0.0077723381,0.1266929902,0.0344400033,0.1289162204,0.0606772555,0.1256931681,0.0850844631,0.1216020861,0.1086744829,0.1178806007,0.1287512287,0.1060523097,0.1495417692,0.1057937704,0.1673987732,-0.2465626003,0.0632636717,-0.2353098365,0.0406945163,-0.2174371458,0.0184645815,-0.1961040423,0.001945939,-0.1767961658,-0.0158178932,-0.1532822638,-0.027465431,-0.131774164,-0.0450318451,-0.1102498614,-0.0616218462,-0.089918663,-0.0789690866,-0.0669748667,-0.0933753789,-0.0436259648,-0.1079890493,-0.0161551776,-0.1161105505,0.0120039345,-0.1147808417,0.0398670752,-0.1160355197,0.0679934478,-0.1124188817,0.0958557404,-0.10605605,0.1234090302,-0.0964647795,0.1504638767,-0.0827403632,0.1742212654,-0.0642692415,0.1970685746,-0.0446523747,0.2191476792,-0.018431305,0.2261078805,0.0166788749
-0.1765820659,0.1018600974,-0.1426343739,0.0830560492,-0.1250000588,0.0723673996,-0.1107874928,0.0585362935,-0.0976590626,0.043288941,-0.0818851626,0.0293040327,-0.0633583009,0.0200091472,-0.0450298501,0.0089211327,-0.0247222687,-0.0003308088,-0.0023392774,-0.0051204965,0.0209853732,-0.0080728632,0.0439519534,-0.0082218439,0.0660358994,-0.0051716966,0.0885564677,0.0029242534,0.1106468803,0.010430583,0.1292425248,0.0272398256,0.1452910468,0.050532056,0.1522270284,0.0791992331,0.1530421196,0.1067312525,0.1480872363,0.1326737032,0.1395620764,0.1526719557,0.1389245265,0.1684123828,-0.2590148779,0.0459127361,-0.2392318785,0.0298778911,-0.222222991,0.0097863934,-0.2009869901,-0.0101109238,-0.1777460857,-0.0220015007,-0.1577745472,-0.0383461411,-0.134744702,-0.0497584924,-0.1111515445,-0.0614064231,-0.0873136575,-0.0743513788,-0.0649338762,-0.087632581,-0.0417954725,-0.0935272061,-0.0173684659,-0.0930566166,0.0086341275,-0.091394315,0.0355589486,-0.0882777831,0.0618225092,-0.0860486977,0.0873821781,-0.0810958732,0.1131889019,-0.0761311482,0.1382386777,-0.0698552123,0.1628621634,-0.0634680987,0.1864567812,-0.0552688387,0.2238584843,-0.0452578648,0.2297270978,-0.0198285548
-0.1729248053,0.1072529283,-0.1438933411,0.0841495607,-0.1272979922,0.0701577789,-0.1108992715,0.0583632898,-0.0949496135,0.0463863349,-0.0787962597,0.0344982181,-0.061894775,0.0227992072,-0.0451030573,0.0093000828,-0.0259620154,-0.0031735165,-0.0038947835,-0.0138749588,0.0197846788,-0.0197660602,0.0430466943,-0.0160466459,0.0669528953,-0.0108421499,0.089801417,-0.0031374817,0.1109224034,0.0089684354,0.1277668447,0.0290382617,0.1380944549,0.0540993238,0.1485724695,0.0775582618,0.1565054554,0.1049872581,0.1520447464,0.1332957209,0.1472962949,0.1478175443,0.1579273343,0.1632806573,-0.2483267916,0.0541252558,-0.2413482831,0.0332398802,-0.2207554752,0.0108353367,-0.2012679505,-0.0073551025,-0.1821892324,-0.0267298326,-0.1595314982,-0.04095382,-0.1377538545,-0.0554002433,-0.1144422173,-0.0674791269,-0.0907474243,-0.0781479473,-0.0661741576,-0.0852890058,-0.0409302882,-0.0899648432,-0.0152126614,-0.0926437786,0.012137294,-0.0934005404,0.0384987829,-0.0960824596,0.0630255723,-0.0948499241,0.0878455239,-0.0891336414,0.1121799467,-0.0794627373,0.1358368247,-0.0663027502,0.1596758533,-0.0531257564,0.1849206522,-0.0424318034,0.2084795454,-0.0232372764,0.2229800642,-0.0013219343
-0.1748668937,0.1042072319,-0.1436209102,0.0848288297,-0.1269703561,0.0719585014,-0.112132844,0.058332226,-0.0973628602,0.0446738677,-0.0825368866,0.0305677987,-0.0657176495,0.0181930023,-0.0484553244,0.005397985,-0.0303158539,-0.0099117757,-0.0063381688,-0.0215317692,0.0197640214,-0.0269621972,0.0455034748,-0.0255926766,0.0691671422,-0.0168451984,0.0932949844,-0.0087593307,0.1165308139,0.0037565034,0.1348002435,0.0260017425,0.1454469548,0.0534240212,0.1508864708,0.0809280416,0.151841806,0.1072358134,0.149709326,0.1340082235,0.1401922707,0.152165211,0.1492577174,0.1701147861,-0.2421396404,0.0637183571,-0.2343612783,0.0399549207,-0.2172594283,0.0169128097,-0.1991733555,-0.0032614921,-0.1803472895,-0.0227339475,-0.1586115995,-0.0382008313,-0.1362073747,-0.0516717415,-0.1133723097,-0.0653522421,-0.0906935894,-0.0790706131,-0.0667156736,-0.0889156361,-0.0410333127,-0.0937569373,-0.0147638364,-0.098231871,0.0103215478,-0.099496469,0.0361123252,-0.096104776,0.0622182208,-0.0924967009,0.0871766589,-0.0856434394,0.1119292963,-0.0762820521,0.1362448617,-0.0648986993,0.1598718926,-0.0520525032,0.1818756789,-0.0355492386,0.211100194,-0.0233732147,0.2197505333,0.0103154803
-0.1767532491,0.1059028755,-0.1426619774,0.0853354227,-0.12840714,0.0705801229,-0.1151913791,0.0547686704,-0.0992210229,0.0407122027,-0.0819795062,0.0292459357,-0.0642953966,0.0185878033,-0.0451872309,0.0086044736,-0.0235268372,0.0012757876,-0.0019272793,-0.0107268737,0.0210516397,-0.0171853666,0.0445971257,-0.0158757067,0.0680526291,-0.0120605125,0.0901495604,-0.002144553,0.1120157494,0.0093432656,0.1306796909,0.0281801052,0.1391337636,0.0551155125,0.1446407878,0.0810602273,0.1472283573,0.1066794874,0.1436623001,0.1312096447,0.1400760125,0.1503478655,0.1490597264,0.1699227267,-0.2535543834,0.0599100622,-0.235511424,0.0360936347,-0.2163723393,0.015550675,-0.1961429158,-0.001779525,-0.1770025561,-0.0196050352,-0.1573099386,-0.0370949962,-0.1356366498,-0.0517984666,-0.113014131,-0.064746812,-0.0887568395,-0.0749279948,-0.0645808449,-0.0858975021,-0.0390554381,-0.0932479133,-0.013945683,-0.1004754752,0.0114327002,-0.1017852201,0.0372699531,-0.1011296117,0.0622096311,-0.0959487899,0.0874816336,-0.0868012233,0.1133434688,-0.0783381069,0.1381859946,-0.0682226559,0.1624158562,-0.0570981805,0.1873900065,-0.0469283711,0.2181837064,-0.0294438659,0.2217738689,-0.0051637431
-0.1593336331,0.1083832764,-0.1409285977,0.0933084663,-0.1238850573,0.0791154383,-0.1106310081,0.0632851412,-0.0991844958,0.046681096,-0.0853567695,0.0314562392,-0.0712996212,0.0156941829,-0.0535286671,-0.0001925924,-0.0324172682,-0.012274333,-0.00955451,-0.0273274186,0.0195488435,-0.0347694093,0.0481682741,-0.0339942909,0.0756348094,-0.0273055766,0.1000662016,-0.0136567343,0.121977899,0.004752579,0.1364440517,0.0306716887,0.1426996464,0.0593054528,0.1418641495,0.086172537,0.1397254478,0.1107314461,0.1370547153,0.1344901979,0.1315737595,0.1564666118,0.1372601158,0.1716479679,-0.2413643691,0.0786104737,-0.2259797938,0.0479200751,-0.2075269602,0.0289794896,-0.1883771253,0.0102382911,-0.1693143619,-0.0089074672,-0.151299032,-0.0290349084,-0.1341667792,-0.0491252271,-0.1159582922,-0.0684475117,-0.0964016117,-0.0870881157,-0.0730791188,-0.104302357,-0.0445783639,-0.1145347719,-0.0154728362,-0.1168287689,0.0122645825,-0.1142810032,0.0398650133,-0.1112035815,0.0670956951,-0.1060011655,0.0934828285,-0.0970420731,0.1193565608,-0.0861751683,0.14186297,-0.069344411,0.1596984038,-0.0482232726,0.1780783654,-0.0273507481,0.1943682454,-0.0071747033,0.211547694,0.0366749586
-0.1448237554,0.1163113712,-0.1325855886,0.1013174391,-0.1167161752,0.0847670804,-0.106133396,0.0665923197,-0.0952932229,0.0501906984,-0.081944772,0.0348645581,-0.0677664383,0.0194001528,-0.0505071947,0.0040129251,-0.0296526936,-0.0080833275,-0.0075024934,-0.0223209131,0.0201924658,-0.03188009,0.0485353402,-0.0300050956,0.0752016604,-0.0236301299,0.0989344038,-0.0100669633,0.1195111075,0.0081816242,0.1340228105,0.0326973581,0.1395775293,0.0606538114,0.1368212067,0.0863582547,0.1319770763,0.1079887594,0.1204334154,0.1279727363,0.110922554,0.1579770486,0.1210389711,0.1681814426,-0.2363498959,0.0935329349,-0.2197474826,0.050120812,-0.2077569632,0.0268958071,-0.1937773383,0.0046517368,-0.1771517542,-0.0160684534,-0.1591492813,-0.0358193346,-0.1398476971,-0.0544607348,-0.119797496,-0.0733414805,-0.0963699166,-0.0886253327,-0.0719814721,-0.1033016438,-0.0450855928,-0.1142099737,-0.0168597045,-0.1226573612,0.0132903431,-0.1254646679,0.042735757,-0.1209169479,0.0707480118,-0.1131506542,0.0965680733,-0.1005217309,0.119930525,-0.0849496396,0.1416786683,-0.0674641306,0.1615654961,-0.0478999384,0.1817199957,-0.0269942266,0.2067466563,-0.0126395911,0.2246482571,0.0318034903
-0.1569062239,0.1056720668,-0.1377037636,0.0932399732,-0.1213782509,0.0786450595,-0.1051794768,0.0658814795,-0.0913111441,0.0505381923,-0.0785870834,0.0351196196,-0.063716011,0.0208495194,-0.0452760119,0.0092447846,-0.0257061687,-0.0029958611,-0.0031038353,-0.0129628939,0.0208948439,-0.0200716401,0.0456327868,-0.0210796293,0.0705894044,-0.0196013537,0.0954101829,-0.012727044,0.1204068925,0.0006749133,0.136565482,0.0262349187,0.1461314756,0.0541598403,0.1493350159,0.0821567617,0.1479961534,0.1085582002,0.1400804798,0.1321392283,0.1277237379,0.1503897966,0.1249332219,0.1706912247,-0.2500645485,0.0675459005,-0.2358355566,0.0398855986,-0.2222981704,0.0141160041,-0.2016826382,-0.0060838801,-0.1818652026,-0.0245585688,-0.1600842892,-0.0398801807,-0.1384755193,-0.0551759645,-0.1150374564,-0.0678276552,-0.0918427716,-0.0812208,-0.0671339587,-0.0917424147,-0.0416186246,-0.0998088889,-0.0160464163,-0.1038046483,0.010056393,-0.1011668164,0.0374923804,-0.0995370203,0.0639121533,-0.0967666847,0.0898384611,-0.091688572,0.1150402893,-0.0832094935,0.1385830904,-0.0693535112,0.1618333208,-0.0545428629,0.184929423,-0.0390537246,0.2082544723,-0.0194232245,0.2152134613,0.0085402514
