V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88
-0.1468528674,0.1093370564,-0.1372425425,0.0972040077,-0.1210724544,0.0831441209,-0.1059392766,0.0696581241,-0.0902024156,0.0573294143,-0.0741890562,0.0447773425,-0.0576008864,0.0320523986,-0.0411305186,0.0186588268,-0.0216642145,0.0070470952,-0.0005441457,-0.0059940678,0.021223387,-0.0172642013,0.0453232292,-0.0224098287,0.0711600691,-0.0205789254,0.0964906005,-0.0112397462,0.1203206441,0.005885895,0.1298343681,0.0337603607,0.1268752479,0.0597584017,0.1245123914,0.0852932361,0.1218456812,0.106792917,0.1123779168,0.1288404424,0.1074825819,0.1593000858,0.1162766396,0.167445345,-0.2360765725,0.0698513877,-0.2270038501,0.0453220628,-0.2133048127,0.0222873558,-0.1962151936,0.0017042624,-0.1785475173,-0.0181973025,-0.1605048349,-0.0378533403,-0.1400210596,-0.0551559054,-0.1193218394,-0.0726867953,-0.0966633378,-0.0888627149,-0.0708713459,-0.1005063336,-0.0441192195,-0.1099182867,-0.0160789406,-0.1138879652,0.0116389534,-0.1126502141,0.0393182027,-0.1120497858,0.0666994575,-0.1126299158,0.0961990023,-0.1095612472,0.1251818499,-0.0968686971,0.1490105195,-0.078456637,0.1698376438,-0.0603993323,0.1937329174,-0.0448234241,0.2191016262,-0.020871031,0.2307239723,0.0174155589
-0.1589124456,0.0987220296,-0.1458048557,0.0865641631,-0.1291484084,0.0721250747,-0.1136674587,0.0587776723,-0.0982957354,0.0455128447,-0.0828175205,0.0324732297,-0.0673594635,0.0178229842,-0.0481914929,0.0063998439,-0.029005563,-0.0069123087,-0.005936028,-0.0195868554,0.0202502647,-0.0250924781,0.0461605296,-0.0255145579,0.0720481964,-0.0218935473,0.096758183,-0.0115913937,0.1185787903,0.0055686653,0.1318930827,0.0303499699,0.1427040562,0.0563783588,0.1470159731,0.0837127736,0.1466671418,0.1101779946,0.1366633725,0.1320439817,0.1252177458,0.1561211684,0.1464732361,0.1760531441,-0.2461720011,0.0664250709,-0.2322333919,0.0433019715,-0.2136526577,0.0227178507,-0.1954499147,0.0030450633,-0.1762856642,-0.0152662913,-0.1569775142,-0.0332387298,-0.1354039596,-0.0482662412,-0.1132097588,-0.0629393879,-0.0901971293,-0.0758740245,-0.0651466842,-0.0864378117,-0.0402241725,-0.098007992,-0.0145515027,-0.1068790526,0.0111763124,-0.1147723474,0.0389986599,-0.112943325,0.0649103276,-0.1038840377,0.0905004888,-0.0940776175,0.1143340069,-0.0810984447,0.1367017344,-0.0649856386,0.159756208,-0.0486786743,0.1840063646,-0.0355258059,0.2099857862,-0.0195364321,0.2178428618,0.0087091403
-0.1425979903,0.119878875,-0.1311892903,0.1015580805,-0.1142909391,0.0875944787,-0.1017599978,0.0696081894,-0.0899773296,0.0546879225,-0.0748181142,0.0416987359,-0.0596251258,0.0271796213,-0.0445722264,0.011697885,-0.0280358662,-0.0045791146,-0.0062491482,-0.0188131094,0.0193971758,-0.0305281168,0.0484166763,-0.0307445681,0.0740198182,-0.0215749343,0.0982816368,-0.0097895028,0.1158227344,0.0105380198,0.1240316135,0.035168301,0.1275940562,0.0616719797,0.1308102022,0.0868923379,0.1287845758,0.1086696711,0.1210355446,0.1299872268,0.1133110993,0.1582290249,0.1240266824,0.1820312388,-0.2396619634,0.0811466211,-0.2251761434,0.0472622632,-0.2090533383,0.0255252413,-0.1951755829,0.0026857171,-0.1756225871,-0.0154832313,-0.157692698,-0.0352459798,-0.1376548208,-0.0529310502,-0.1158845339,-0.0690847424,-0.0960720753,-0.0878170561,-0.0724569662,-0.1027646254,-0.0488604419,-0.1190119666,-0.0186077653,-0.1313255286,0.0147868049,-0.1317190238,0.043986855,-0.1246438252,0.0715550748,-0.1169729926,0.0987323401,-0.1060280048,0.1237993042,-0.0910614568,0.1463914376,-0.0729863401,0.1650643163,-0.0518104808,0.1836565353,-0.0307676676,0.2044450372,-0.0114795656,0.2070854234,0.0234514529
-0.1638093967,0.1216091868,-0.1371721449,0.0967198499,-0.1215443855,0.0813212147,-0.1064298427,0.0674806556,-0.0924657187,0.053464835,-0.0753492793,0.0413306088,-0.0624428626,0.0248723852,-0.0458606092,0.0115571779,-0.0272427061,-0.0020655966,-0.0051974642,-0.0139409792,0.0184360027,-0.0254835849,0.0452038357,-0.0257984912,0.0704651168,-0.018863394,0.0915837816,-0.0045947831,0.1100809795,0.0127098923,0.1218332216,0.0356938074,0.1291227817,0.0613363758,0.1334065326,0.086607559,0.1323248015,0.1105343576,0.1283972567,0.1337652119,0.1246834474,0.1567856768,0.1327125136,0.1745755448,-0.2318953919,0.0501082755,-0.2293686473,0.0432080731,-0.2108895045,0.0231892134,-0.1937970045,0.0026399529,-0.1754511929,-0.0161904722,-0.1560356024,-0.0339197609,-0.1358054146,-0.050836591,-0.1142238064,-0.066797814,-0.0928832643,-0.083138784,-0.0688091701,-0.0962363623,-0.0446982428,-0.1101738222,-0.0167258832,-0.1182856877,0.0116545438,-0.1167591878,0.0394082776,-0.1157791645,0.0676839814,-0.1123201659,0.0947555966,-0.102328506,0.1204647937,-0.0897848196,0.1439252936,-0.0737786458,0.1667221528,-0.0582247794,0.1918811835,-0.0426356628,0.2134202545,-0.0177218444,0.2199311857,0.0061490452
-0.1789633576,0.1024410822,-0.1481389161,0.0815669744,-0.1318179405,0.0672629332,-0.1145400821,0.056543752,-0.0993578288,0.0437045868,-0.0827985805,0.0315504541,-0.0650816284,0.0207906844,-0.0459542825,0.0109835747,-0.0250385942,0.0018641695,-0.0028625986,-0.0082005249,0.0207161779,-0.014590103,0.0445561028,-0.0176853684,0.0690132981,-0.0156747262,0.0940051396,-0.0127081715,0.1200959449,-9.01073180527637E-005,0.1389864228,0.026967277,0.1404126616,0.0573585097,0.1414759952,0.0834254598,0.141843995,0.1081277549,0.1407530531,0.1323123136,0.1363209761,0.1529303145,0.1426506983,0.175589292,-0.2461606797,0.0461228259,-0.2422282968,0.0333568225,-0.2199105211,0.0129693513,-0.1981219442,-0.00232884,-0.1770775208,-0.0172006869,-0.1552103242,-0.0304992617,-0.1326083289,-0.0437873918,-0.1104744503,-0.0580152624,-0.0876620768,-0.0697275226,-0.0632816063,-0.0800646522,-0.0388067241,-0.0895972369,-0.014924574,-0.0955358551,0.0106946198,-0.0961964443,0.0375229549,-0.0968435394,0.0633071765,-0.0957104672,0.0892461282,-0.0908472252,0.1153047445,-0.0846992561,0.1411239263,-0.0756013698,0.1655798487,-0.0624662245,0.1910669228,-0.048341914,0.2155736064,-0.0267144273,0.2207704633,-0.0127415539
-0.1320289793,0.0978239488,-0.1329022131,0.1001726659,-0.1169370374,0.0836530122,-0.1049541667,0.0668351418,-0.0919595087,0.0515615423,-0.0791081611,0.035888556,-0.0641393131,0.0215981413,-0.0493934942,0.0054979504,-0.0299090936,-0.011266397,-0.0034916687,-0.0218909546,0.0230470701,-0.0230835333,0.0482229519,-0.0210470409,0.0715145903,-0.0126094331,0.0920499462,-0.0016769028,0.1019085117,0.0174371971,0.1137299387,0.0428701306,0.1288293603,0.0663270313,0.1422649088,0.0857831687,0.1488708763,0.1097133742,0.1491947133,0.1355372538,0.1421523915,0.1528272756,0.1730739708,0.1819566985,-0.2380339917,0.0612089463,-0.228497872,0.0464745068,-0.2175180362,0.0210960169,-0.2001985752,-0.001216322,-0.1819692575,-0.0206751301,-0.1652394336,-0.0423142545,-0.1435579422,-0.0603831373,-0.1216547572,-0.077452316,-0.0984534673,-0.0924968391,-0.0752277713,-0.1081104682,-0.0466273201,-0.1243922167,-0.0115176935,-0.1257039079,0.0133810938,-0.1130843426,0.039136949,-0.1050885466,0.0642932766,-0.0958610579,0.0892055936,-0.0843041476,0.1143368868,-0.0736073375,0.1380495209,-0.0597841592,0.162389714,-0.0468632393,0.1855287916,-0.0324757718,0.2028640858,-0.0121816808,0.189274612,-0.0166934216
-0.1619016124,0.0993423111,-0.1468589886,0.0868205299,-0.1295901585,0.072858569,-0.112809826,0.0611900951,-0.0969240859,0.0487653424,-0.0817854002,0.0349245855,-0.0646397306,0.0229689186,-0.0474998563,0.0093803553,-0.028692512,-0.0041898843,-0.0084648639,-0.0202984978,0.0172698164,-0.0312190255,0.0455502614,-0.0364706113,0.0761913609,-0.0323250737,0.1019202083,-0.0165569386,0.123363519,0.0038916219,0.1352334923,0.0312137087,0.139896287,0.0594369667,0.1387235359,0.0858288174,0.139224519,0.1105387462,0.1360696073,0.1340712228,0.1282937924,0.1559140717,0.1332844545,0.1831956138,-0.2414928371,0.0661936139,-0.2295241373,0.046352369,-0.2084574252,0.02932282,-0.1897186737,0.0092488255,-0.1720162704,-0.0104806244,-0.1532792605,-0.0291848858,-0.1347635635,-0.0483581484,-0.1161722506,-0.0673084441,-0.0931827016,-0.0815016887,-0.0693806197,-0.0953640522,-0.0432599068,-0.1047190302,-0.0162894536,-0.1114171381,0.0112973148,-0.111669408,0.0389396229,-0.1110823693,0.0663711032,-0.1069564197,0.092706136,-0.0975736975,0.1182490634,-0.0860017291,0.1409582548,-0.0694459105,0.1634078576,-0.0525343028,0.1825965445,-0.0320675052,0.201893891,-0.0116926301,0.2152634917,0.016958911
-0.1473366629,0.0917921192,-0.1428143631,0.0882324124,-0.1258017985,0.0748720256,-0.1107187852,0.061272666,-0.0953392338,0.0479704312,-0.0791478999,0.0356538834,-0.0627865849,0.0229290945,-0.0447448047,0.0106823419,-0.0246563051,-0.0007734619,-0.002262974,-0.0114555638,0.0215119928,-0.0197051955,0.0461804788,-0.0196094017,0.0703812708,-0.0152985503,0.0917624076,-0.003363989,0.110990812,0.0122662723,0.1251975249,0.0332314262,0.1320716093,0.058673003,0.1359495629,0.0845125873,0.1417380779,0.1082396698,0.1412658372,0.1322977647,0.1349887448,0.1534477104,0.1507634347,0.1790994268,-0.2507925914,0.0640179542,-0.2323521175,0.0422043739,-0.2133887401,0.0225342236,-0.1951419069,0.0029063926,-0.1749320524,-0.0141423352,-0.1561311341,-0.0329355163,-0.1387587428,-0.0529508251,-0.11835523,-0.0711569206,-0.0946611015,-0.0855959783,-0.0689368051,-0.0956126025,-0.0431350352,-0.1057785875,-0.0160221033,-0.1119425629,0.0114934305,-0.1151094753,0.0389798472,-0.111738711,0.0649587969,-0.1030796254,0.0913347112,-0.0950280421,0.1166975824,-0.0843717747,0.1415007235,-0.071985144,0.1654165873,-0.0566299935,0.1834836325,-0.0349052325,0.207418735,-0.0180935242,0.2141311722,0.0044272342
-0.1775529684,0.1121828508,-0.1463457066,0.0860513475,-0.1291863494,0.0721673905,-0.1124899122,0.0606877453,-0.0978302796,0.0468924916,-0.0830416883,0.0324780195,-0.0650206411,0.0218556075,-0.0473004463,0.0090998011,-0.0265946851,-0.0013047153,-0.0040732538,-0.0121708452,0.0187223407,-0.0241294465,0.0448587383,-0.0275458893,0.0718857605,-0.0242252243,0.0957934062,-0.0112581753,0.1182932957,0.0049992375,0.1336790588,0.029892465,0.1417421555,0.0578425105,0.144285871,0.0852772071,0.14221081,0.1109543264,0.1329003313,0.1328464728,0.1258340775,0.1561097825,0.1421505265,0.1782256895,-0.2408525138,0.0486612375,-0.2322362734,0.0407471509,-0.2115886275,0.0235746815,-0.1928518753,0.0046057999,-0.1732538242,-0.0125340738,-0.1525873973,-0.0289345241,-0.1331507488,-0.0457885862,-0.1100033148,-0.05818654,-0.0871305783,-0.0735739595,-0.0641319892,-0.088180523,-0.0413221037,-0.1027276714,-0.0177846923,-0.1158403968,0.0111193969,-0.1239448709,0.0401166048,-0.1156614554,0.0643138109,-0.1036057233,0.088028987,-0.0897686176,0.1130627454,-0.0781060549,0.1361039846,-0.0632484592,0.1596229748,-0.048522579,0.1829386929,-0.0345067878,0.2100154079,-0.0259668283,0.2286508922,-0.0054198678
-0.1481641916,0.1251833021,-0.1296045239,0.1034391068,-0.1171572324,0.0849903001,-0.1046249659,0.0693035279,-0.0927553321,0.0531120811,-0.0803738638,0.0376373365,-0.0649983347,0.0238230381,-0.0492791497,0.0087215833,-0.0312476642,-0.0062593598,-0.0107874251,-0.021483528,0.0142414889,-0.0375234483,0.0479504544,-0.0410224721,0.0771140698,-0.0296542859,0.1019855364,-0.0147854991,0.1211193351,0.0073534859,0.1318794445,0.0339793284,0.1351398273,0.061621667,0.1361146959,0.0877509252,0.1323508449,0.1106006398,0.1222421947,0.1319763763,0.1161175749,0.1589760763,0.1241580004,0.1796406693,-0.2340688518,0.0596793544,-0.2272025021,0.0472007332,-0.2121536696,0.0247345221,-0.1937862795,0.0055622802,-0.1750091161,-0.0130108063,-0.1543919944,-0.0303751372,-0.1363628998,-0.0504252944,-0.1172676631,-0.0691484118,-0.0961611164,-0.0864731833,-0.071803907,-0.1012167652,-0.0445573276,-0.1104987214,-0.0167036234,-0.1162994401,0.0112421544,-0.1203009716,0.0399988495,-0.1212171864,0.0700324873,-0.1176976509,0.0983866662,-0.1057117069,0.1223966086,-0.0889868504,0.1435881284,-0.0700066909,0.160893133,-0.0481309157,0.1800134783,-0.0266547667,0.2028265245,-0.0098326407,0.2186701368,0.0214293989
